68064,I251,I469,,
47089,I251,I219,,
38386,I251,I500,,
30814,I500,I469,,
30787,I10,I469,,
28401,J449,J969,,
27733,J189,A419,,
26349,J189,J969,,
24728,I10,I251,,
24535,I219,I469,,
23532,A419,I469,,
21242,F03,R628,,
21240,J449,I469,,
20051,I10,I500,,
18803,J189,I469,,
18678,J969,I469,,
16215,I10,I219,,
14996,N390,A419,,
14859,J449,J189,,
14388,I10,I64,,
13931,I500,J969,,
13474,F03,I469,,
13098,C349,I469,,
12451,C349,J969,,
12107,A419,J969,,
11977,E149,I469,,
11654,E149,I251,,
11044,J189,J960,,
10963,I251,I499,,
10450,I48,I500,,
10258,I64,I469,,
10038,J449,I500,,
9429,J449,J960,,
9378,G309,R628,,
8732,I48,I469,,
8668,R628,I469,,
8660,I48,I64,,
8450,J690,J969,,
8273,I469,G931,,
8195,I251,I255,,
7962,A419,R688,,
7603,I499,I469,,
7510,I709,I469,,
7496,I251,I219,I469,
7356,G309,I469,,
7310,N185,I469,,
7278,I10,E149,,
7201,E149,I10,,
7175,J449,C349,,
7153,R688,I469,,
7122,J449,R092,,
7105,R13,J690,,
6787,E149,I219,,
6780,I350,I500,,
6739,F03,J189,,
6670,I500,J189,,
6598,I500,J449,,
6523,I500,I219,,
6522,N19,I469,,
6517,J960,I469,,
6478,I251,J969,,
6442,N179,A419,,
6438,I255,I500,,
6438,F03,J690,,
6416,I429,I469,,
6248,I500,I251,,
6188,A419,J960,,
6150,I10,I48,,
6139,E785,I10,,
6085,E149,I500,,
5998,I10,J449,,
5992,J449,I251,,
5907,C349,J189,,
5764,N179,I469,,
5670,I251,J449,,
5665,I10,F03,,
5631,I10,I251,I469,
5614,I429,I500,,
5605,I251,R092,,
5588,I250,I469,,
5569,I500,R092,,
5529,E785,I251,,
5487,J690,A419,,
5416,J690,I469,,
5373,C80,I469,,
5349,I219,R570,,
5343,E119,I251,,
5306,J969,A419,,
5302,I250,I219,,
5254,I251,I509,,
5222,R99,I469,,
5159,B182,K746,,
5158,K746,K729,,
5128,I64,J969,,
5053,N189,I500,,
5039,F03,J969,,
5026,I709,I251,,
4943,I500,J960,,
4939,A419,J189,,
4934,N189,I469,,
4923,J189,R092,,
4913,I10,N185,,
4891,I251,I500,I469,
4812,I10,I619,,
4568,I709,I219,,
4491,C349,R092,,
4393,I10,N189,,
4348,N19,J969,,
4321,I10,J969,,
4269,E119,I469,,
4229,A047,A419,,
4127,I269,I469,,
4124,F179,J449,,
4101,I255,I469,,
4086,F03,R53,,
4085,J690,J960,,
4061,I219,I500,,
